x,y,predicted values
0.805249,0.724239,-2.874705
0.932219,0.884825,-0.06153
0.441688,0.790341,-2.041416
0.235584,0.34374,2.240141
0.129183,0.823789,-1.126812
0.501411,0.136858,-0.195386
0.693797,0.677531,-0.010622
0.597772,0.567498,-1.907425
0.536614,0.760189,2.309968
0.797864,0.125292,0.771261
0.063691,0.897795,0.219857
0.774701,0.531441,0.567305
0.377295,0.220218,-0.319225
0.672511,0.7897,-0.212496
0.117876,0.063645,0.351294
0.773419,0.291127,1.144526
0.520562,0.234485,1.891515
0.259892,0.585855,-0.35531
0.509865,0.564385,-0.112245
0.163241,0.855482,1.048302
0.169421,0.718746,1.068913
0.405676,0.75462,0.300906
0.25156,0.039567,0.747922
0.824292,0.115526,-1.145354
0.125826,0.834745,-0.236295
0.361334,0.981247,-0.221979
0.168765,0.316457,-0.02301
0.365179,0.156329,-0.628374
0.464698,0.53666,-0.36796
0.971771,0.393149,-0.35879
0.513222,0.669642,0.401264
0.795453,0.280232,2.235252
0.843519,0.436439,-1.526592
0.893233,0.44979,1.459667
0.511543,0.41181,1.152005
0.841505,0.79939,-0.322834
0.265141,0.640513,-2.528286
0.375601,0.341466,0.730076
0.414481,0.808316,-1.60174
0.805402,0.375296,0.596919
0.535256,0.267308,3.201499
0.894102,0.202335,2.065546
0.542672,0.184543,0.271668
0.521767,0.741299,0.323037
0.559304,0.115908,-1.357551
0.561501,0.345663,-0.465609
0.370535,0.447227,-1.571928
0.955398,0.222629,2.344495
0.682856,0.602564,0.288134
0.714656,0.713588,-0.142748
0.772396,0.652674,-2.410548
0.989136,0.010651,0.732866
0.122423,0.573632,-0.563527
0.562631,0.611688,-0.11155
0.790768,0.490257,0.387101
0.873701,0.947829,0.608016
0.939818,0.47512,0.14798
0.176715,0.508766,0.369318
0.051362,0.448112,2.779242
0.025177,0.013443,-1.948452
0.833875,0.60911,0.616116
0.193545,0.711803,0.714246
0.998764,0.084703,0.142283
0.723873,0.149874,0.672571
0.950866,0.70425,0.064108
0.350439,0.548272,-0.2121
0.074357,0.38584,1.243544
0.96556,0.342626,-2.96018
0.351705,0.239551,0.386947
0.74583,0.552117,-0.234557
0.623224,0.526711,-1.232284
0.660136,0.6262,-0.004037
0.491768,0.156161,0.421703
0.93611,0.625589,-1.594892
0.451453,0.568185,-2.095955
0.321401,0.380819,-0.63706
0.463844,0.4654,0.804694
0.168124,0.759548,1.223572
0.562234,0.465705,-0.511859
0.761471,0.626215,-1.384488
0.334844,0.05536,1.911217
0.540475,0.106569,-0.823957
0.977218,0.942367,-1.644153
0.540551,0.674418,-0.296679
0.80882,0.630228,-0.223451
0.781827,0.43949,-0.418534
0.039673,0.129442,1.00118
0.978363,0.121187,1.341649
0.757534,0.534707,-0.293789
0.056321,0.745205,-0.527573
0.424155,0.497307,-1.491724
0.006592,0.185504,1.435211
0.322423,0.09485,2.203047
0.548135,0.388418,-0.343335
0.567132,0.596368,-0.800949
0.608896,0.688579,-1.149929
0.188464,0.153201,1.597594
0.875242,0.543786,1.017156
0.52137,0.103182,0.294589
0.625895,0.342306,-0.890363
0.267735,0.72546,0.730565
0.9935,0.555673,0.145695
0.310414,0.338231,1.354484
0.280629,0.545876,-0.549745
0.290471,0.830488,0.125419
0.351858,0.711803,0.526617
0.322728,0.728283,0.769724
0.564813,0.605478,-0.536007
0.474739,0.480522,0.592299
0.984878,0.615686,-0.251615
0.317617,0.734813,0.141554
0.238712,0.501488,-1.163797
0.634592,0.927199,2.742678
0.300557,0.745449,0.014234
0.670268,0.190616,0.762163
0.704723,0.500862,1.363168
0.688624,0.828702,2.853035
0.628565,0.785718,-0.064067
0.663569,0.990326,-0.202751
0.107851,0.467781,1.401299
0.703212,0.469749,1.468338
0.978241,0.970565,-2.600146
0.870146,0.240192,0.539877
0.826307,0.246677,0.568571
0.51429,0.405844,1.169679
0.871168,0.760342,-1.474462
0.798657,0.920165,-0.411106
0.247684,0.433402,-1.332752
0.746822,0.553384,-0.320389
0.31754,0.47541,-0.883471
0.686473,0.391592,-0.139726
0.519371,0.296681,0.863049
0.604791,0.834119,0.507636
0.81181,0.287098,2.185875
0.563561,0.581186,-0.991069
0.491752,0.544244,-0.963168
0.876387,0.714382,-2.037827
0.901442,0.24538,-0.824856
0.870878,0.147601,-1.241163
0.741863,0.977676,1.863685
0.401282,0.373327,0.861672
0.676799,0.623133,-0.098856
0.957244,0.276112,1.834905
0.969802,0.763348,0.946442
0.509621,0.315145,0.742761
0.363455,0.116564,2.314423
0.281605,0.96553,0.866538
0.416648,0.030182,0.388685
0.87274,0.423453,0.46419
0.122133,0.884581,0.52616
0.026429,0.203326,0.613824
0.347601,0.964721,-0.730117
0.049699,0.322377,0.369627
0.173556,0.475181,-1.225408
0.5552,0.930602,-1.328639
0.603235,0.815137,1.177632
0.115312,0.195529,0.948688
